No,HN1,HN2,L1,L2,L3,AVG
249,224,240,0.906515581,0.963172805,0.954674221,0.941454202
250,224,256,0.909348442,0.963172805,0.957507082,0.943342776
251,224,272,0.909348442,0.963172805,0.968838527,0.947119924
252,224,288,0.912181303,0.966005666,0.963172805,0.947119924
253,240,16,0.861189802,0.95184136,0.946175637,0.9197356
254,240,32,0.909348442,0.960339943,0.954674221,0.941454202
255,240,48,0.917847025,0.957507082,0.946175637,0.940509915
256,240,64,0.909348442,0.957507082,0.943342776,0.936732767
257,240,80,0.912181303,0.95184136,0.957507082,0.940509915
258,240,96,0.912181303,0.954674221,0.949008499,0.938621341
259,240,112,0.909348442,0.957507082,0.960339943,0.942398489
260,240,128,0.912181303,0.963172805,0.957507082,0.944287063
261,240,144,0.912181303,0.954674221,0.95184136,0.939565628
262,240,160,0.909348442,0.966005666,0.960339943,0.94523135
263,240,176,0.912181303,0.957507082,0.954674221,0.941454202
264,240,192,0.909348442,0.960339943,0.963172805,0.944287063
265,240,208,0.912181303,0.957507082,0.95184136,0.940509915
266,240,224,0.909348442,0.963172805,0.957507082,0.943342776
267,240,240,0.909348442,0.966005666,0.960339943,0.94523135
268,240,256,0.912181303,0.960339943,0.960339943,0.944287063
269,240,272,0.912181303,0.960339943,0.957507082,0.943342776
270,240,288,0.909348442,0.966005666,0.954674221,0.943342776
271,256,16,0.898016997,0.95184136,0.940509915,0.930122757
272,256,32,0.915014164,0.95184136,0.95184136,0.939565628
273,256,48,0.90368272,0.954674221,0.954674221,0.937677054
274,256,64,0.912181303,0.957507082,0.949008499,0.939565628
275,256,80,0.909348442,0.963172805,0.954674221,0.942398489
276,256,96,0.917847025,0.937677054,0.954674221,0.936732767
277,256,112,0.909348442,0.960339943,0.957507082,0.942398489
278,256,128,0.906515581,0.946175637,0.954674221,0.93578848
279,256,144,0.912181303,0.95184136,0.957507082,0.940509915
280,256,160,0.912181303,0.963172805,0.954674221,0.943342776
281,256,176,0.912181303,0.960339943,0.957507082,0.943342776
282,256,192,0.906515581,0.963172805,0.957507082,0.942398489
283,256,208,0.915014164,0.963172805,0.957507082,0.94523135
284,256,224,0.909348442,0.968838527,0.954674221,0.944287063
285,256,240,0.912181303,0.963172805,0.954674221,0.943342776
286,256,256,0.917847025,0.966005666,0.954674221,0.946175637
287,256,272,0.917847025,0.937677054,0.957507082,0.937677054
288,256,288,0.912181303,0.966005666,0.957507082,0.94523135
289,272,16,0.892351275,0.954674221,0.940509915,0.92917847
290,272,32,0.878186969,0.954674221,0.943342776,0.925401322
291,272,48,0.909348442,0.957507082,0.946175637,0.937677054
292,272,64,0.909348442,0.960339943,0.95184136,0.940509915
293,272,80,0.906515581,0.957507082,0.946175637,0.936732767
294,272,96,0.912181303,0.957507082,0.95184136,0.940509915
295,272,112,0.912181303,0.960339943,0.95184136,0.941454202
296,272,128,0.912181303,0.960339943,0.954674221,0.942398489
297,272,144,0.909348442,0.954674221,0.957507082,0.940509915
298,272,160,0.920679887,0.960339943,0.960339943,0.947119924
299,272,176,0.912181303,0.954674221,0.954674221,0.940509915
300,272,192,0.915014164,0.960339943,0.954674221,0.943342776
