Time,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
31303,4,0.514303725,0.150371764,1.025332042,0.179493468,0.175125116,0.138368465,0.152662732,0.291086574
31304,4,0.514303725,0.150371764,1.025332042,0.179493468,0.175125116,0.138368465,0.152662732,0.291381068
31305,4,0.514303725,0.150371764,1.025332042,0.179637856,0.175125116,0.138368465,0.152662732,0.291381068
31306,4,0.514303725,0.150371764,1.025332042,0.179637856,0.175290279,0.138520254,0.152824588,0.291381068
31307,4,0.514303725,0.150371764,1.025332042,0.179493468,0.175125116,0.138368465,0.152824588,0.291381068
31308,4,0.514303725,0.150371764,1.025332042,0.179637856,0.175125116,0.138368465,0.152824588,0.291381068
31309,4,0.514303725,0.150371764,1.026780379,0.179637856,0.175125116,0.138520254,0.152824588,0.291381068
31310,4,0.514303725,0.150371764,1.025332042,0.179493468,0.175125116,0.138520254,0.152824588,0.291381068
31311,4,0.514303725,0.150371764,1.025332042,0.179493468,0.174960183,0.138520254,0.152824588,0.291381068
31312,4,0.514303725,0.150371764,1.026780379,0.179637856,0.175125116,0.138520254,0.152824588,0.291381068
31313,4,0.514303725,0.150526102,1.026780379,0.179637856,0.175125116,0.138520254,0.152824588,0.291675563
31314,4,0.514303725,0.150371764,1.026780379,0.179637856,0.175125116,0.138520254,0.152824588,0.291675563
31315,4,0.514303725,0.150371764,1.026780379,0.179493468,0.175125116,0.138368465,0.152662732,0.291381068
31316,4,0.514303725,0.150217697,1.026780379,0.179349079,0.174795482,0.138216983,0.152501134,0.290792859
31317,4,0.514303725,0.150063848,1.026780379,0.179349079,0.174795482,0.138216983,0.152501134,0.290792859
31318,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174795482,0.138216983,0.152501134,0.290792859
31319,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.291086574
31320,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.291086574
31321,4,0.514303725,0.150063848,1.026780379,0.179349079,0.174795482,0.138216983,0.152501134,0.290792859
31322,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31323,4,0.514303725,0.150063848,1.026780379,0.179349079,0.174795482,0.138216983,0.152501134,0.290792859
31324,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31325,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31326,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31327,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31328,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152339795,0.290792859
31329,4,0.514303725,0.150063848,1.026780379,0.179204844,0.174630935,0.138216983,0.152339795,0.290792859
31330,4,0.514303725,0.149910271,1.026780379,0.179204844,0.174630935,0.138216983,0.152501134,0.290792859
31331,4,0.514303725,0.149910271,1.028232101,0.179204844,0.174630935,0.138216983,0.152501134,0.291086574
31332,4,0.514303725,0.149910271,1.028232101,0.179204844,0.174630935,0.138216983,0.152339795,0.290792859
31333,4,0.514303725,0.149910271,1.028232101,0.179204844,0.174630935,0.138216983,0.152339795,0.290499144
31334,4,0.514303725,0.149910271,1.028232101,0.179204844,0.174630935,0.138216983,0.152339795,0.290499144
31335,4,0.514303725,0.149910271,1.028232101,0.179060764,0.174466696,0.138065718,0.152339795,0.290499144
31336,4,0.514303725,0.149910271,1.028232101,0.179060764,0.174466696,0.138065718,0.152339795,0.290499144
31337,4,0.514303725,0.149910271,1.028232101,0.179204844,0.174630935,0.138216983,0.152339795,0.290499144
31338,4,0.514303725,0.149910271,1.028232101,0.179060764,0.174630935,0.138216983,0.152339795,0.290499144
31339,4,0.514303725,0.149910271,1.029687207,0.179204844,0.174630935,0.138216983,0.152339795,0.291086574
31340,4,0.514303725,0.149910271,1.029687207,0.179204844,0.174630935,0.138065718,0.152339795,0.290792859
31341,4,0.514303725,0.149756912,1.029687207,0.179204844,0.174466696,0.138065718,0.152339795,0.290792859
31342,4,0.514303725,0.14960377,1.028232101,0.178916684,0.174302612,0.137914717,0.152178713,0.290205428
31343,4,0.514303725,0.14960377,1.028232101,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31344,4,0.514303725,0.14960377,1.028232101,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31345,4,0.514303725,0.14960377,1.028232101,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31346,4,0.514303725,0.14960377,1.028232101,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31347,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31348,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174302612,0.137914717,0.152017889,0.290205428
31349,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174138681,0.137914717,0.152017889,0.290205428
31350,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174138681,0.137914717,0.152178713,0.290499144
31351,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174138681,0.137914717,0.152017889,0.290205428
31352,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174302612,0.137914717,0.152178713,0.290205428
31353,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174138681,0.137914717,0.152017889,0.290205428
31354,4,0.514303725,0.14960377,1.029687207,0.178772912,0.174138681,0.137914717,0.152017889,0.290205428
31355,4,0.514303725,0.14960377,1.029687207,0.178916684,0.174138681,0.137914717,0.152017889,0.290205428
31356,4,0.517665727,0.14960377,1.029687207,0.178772912,0.174138681,0.137763978,0.152017889,0.290205428
31357,4,0.517665727,0.149450845,1.029687207,0.178772912,0.174138681,0.137763978,0.152017889,0.289912492
31358,4,0.514303725,0.149450845,1.029687207,0.178772912,0.174138681,0.137914717,0.152017889,0.290205428
31359,4,0.517665727,0.149450845,1.029687207,0.178772912,0.173975059,0.137763978,0.152017889,0.289912492
31360,4,0.517665727,0.149450845,1.031145697,0.178772912,0.173975059,0.137763978,0.152017889,0.289912492
31361,4,0.517665727,0.149450845,1.031145697,0.178772912,0.173975059,0.137763978,0.152017889,0.289912492
31362,4,0.517665727,0.149450845,1.031145697,0.178772912,0.173975059,0.137763978,0.151857323,0.289618777
31363,4,0.517665727,0.149450845,1.031145697,0.178772912,0.173975059,0.137763978,0.152017889,0.289912492
31364,4,0.517665727,0.149450845,1.031145697,0.178772912,0.173975059,0.137763978,0.151857323,0.289912492
31365,4,0.517665727,0.149450845,1.031145697,0.178916684,0.173975059,0.137763978,0.152017889,0.290205428
